the ,654,2926,5250,7855,11275,3513,3888,1294,2123,1790,1778,2057,7986,5604,6467,7386
of ,635,2547,5203,5885,6984,4358,4146,3533,4401,4581,4260,5290,4023,2836,3171,3896
and ,369,1757,3646,4393,5225,3903,3819,3649,4566,4325,4125,5229,4372,3107,3204,3074
to ,306,1451,3060,3718,4495,2972,2956,2570,3374,3120,2984,3449,2980,2044,2221,2472
in ,290,1285,2663,3275,3618,2429,2335,2156,2512,2624,2382,2884,2334,1628,1671,2253
a ,346,1117,2337,2247,4002,1508,1595,500,842,814,708,762,2404,1749,1949,2238
for ,177,688,1580,2155,2275,1573,1442,1380,1641,1664,1484,1930,1496,1197,1338,1402
was ,155,632,1091,1791,1903,1267,1189,1007,1241,1281,1285,1481,1136,823,751,744
had ,38,253,397,669,1171,872,840,968,1038,1157,1176,1446,1260,844,1011,995
would ,42,395,826,1051,1577,959,1022,827,978,915,803,1088,965,693,873,1381
nasa ,138,435,1090,1696,1458,1161,1037,1048,1049,1199,1060,1227,877,707,556,439
on ,137,567,1068,1160,1438,996,975,804,1214,1077,1069,1285,951,596,692,929
by ,142,532,954,1194,1367,1159,977,867,1051,1227,1105,1401,967,658,669,837
space ,137,619,1268,1404,1455,915,744,654,797,820,746,1253,1004,738,811,654
that ,105,512,1030,1253,1561,828,881,410,582,701,683,770,631,479,686,823
from ,96,467,819,951,1072,815,721,675,910,898,894,1041,841,551,569,683
at ,42,217,651,1074,1275,815,680,635,873,952,854,986,773,515,613,837
be ,66,486,906,1108,1412,855,865,678,819,776,663,881,783,520,510,809
with ,82,345,698,898,1039,684,654,689,860,781,749,875,736,532,554,592
as ,74,366,627,828,880,486,465,477,555,510,498,508,453,340,465,714
∞ ,121,496,754,1418,256,947,787,722,917,1033,873,732,114,17,7,3
were ,39,233,420,682,864,534,527,430,569,558,511,642,533,395,404,410
it ,37,223,532,695,785,384,405,347,511,335,346,350,341,121,158,275
flight ,98,316,528,630,658,362,293,325,318,298,322,466,421,314,319,283
been ,18,140,244,373,553,340,375,369,424,445,454,578,464,292,407,340
release ,1,0,407,551,544,480,356,308,320,452,388,433,337,267,284,312
research ,74,246,482,617,511,325,226,267,263,275,254,441,348,295,246,254
an ,43,184,370,452,744,307,334,90,114,128,105,102,492,390,374,410
program ,53,149,381,505,484,314,394,302,387,327,333,461,286,243,215,201
dr ,31,214,387,471,450,322,316,277,417,466,365,460,306,223,181,224
said ,17,180,407,544,638,321,288,242,426,387,352,321,251,109,159,363
us ,34,206,432,404,289,278,345,294,342,341,278,448,186,191,265,323
first ,56,191,297,402,506,347,297,304,326,283,271,332,294,235,202,253
satellite ,39,190,370,425,386,311,304,270,239,280,242,381,259,302,246,216
spacecraft ,25,111,229,334,517,381,383,307,298,212,226,433,281,253,247,129
launched ,39,156,258,296,305,328,392,331,348,343,368,377,448,243,190,86
new ,40,148,310,399,437,293,324,235,303,346,313,328,267,182,199,244
1 ,58,186,281,379,375,248,224,225,304,335,301,312,249,225,225,339
is ,35,252,712,601,674,309,329,226,343,236,253,288,167,32,33,52
its ,42,150,291,464,491,240,280,160,197,151,170,164,306,203,235,288
system ,29,84,227,325,406,241,239,193,207,284,240,337,238,241,249,251
aircraft ,16,64,198,261,291,259,271,308,277,367,412,409,346,236,176,157
launch ,38,133,208,353,360,266,220,265,291,254,215,296,271,219,280,124
which ,30,148,315,434,446,356,351,280,310,253,208,194,160,125,165,197
not ,38,232,373,382,485,272,315,228,302,240,233,239,165,118,114,207
announced ,54,158,323,374,278,158,123,174,264,337,295,288,242,149,153,226
see ,0,157,301,335,224,246,269,216,263,260,265,418,89,196,152,223
apollo ,12,25,97,189,165,172,290,347,730,506,441,527,166,59,108,63
