of the ,13326,147,526,898,1242,1969,623,659,230,336,298,264,341,1194,788,958,1118
in the ,6253,44,200,403,630,886,347,381,117,157,132,166,160,536,373,401,559
would be ,5667,19,170,286,400,613,344,378,327,353,332,279,386,343,227,251,454
had been ,4639,11,81,95,175,351,228,262,279,299,334,348,448,378,254,352,275
to the ,3659,28,150,281,398,532,179,221,68,106,98,93,99,292,224,225,256
on the ,3350,31,135,234,318,450,199,192,54,97,73,81,125,287,167,197,276
for the ,3131,34,91,178,300,419,121,143,41,66,60,59,85,277,251,296,274
and the ,2786,30,84,147,211,320,120,111,65,74,78,55,77,333,211,236,249
and aeronautics ,2619,0,0,193,180,272,203,139,171,173,188,177,191,155,107,102,128
astronautics and ,2615,0,0,200,186,271,203,135,172,172,182,173,192,154,105,101,129
to be ,2576,28,118,191,262,246,142,132,103,148,126,143,174,194,109,105,159
nasa release ,2441,0,0,128,230,204,185,160,136,111,152,174,171,154,100,102,102
of a ,2173,25,71,118,164,343,117,128,19,37,34,42,46,172,123,184,209
by the ,1998,26,73,102,169,263,85,98,33,44,35,29,34,230,149,147,227
that the ,1973,15,107,145,238,287,90,104,33,50,36,48,47,124,97,154,136
from the ,1959,6,66,107,160,256,68,67,15,39,34,31,58,220,175,171,187
the first ,1868,20,69,83,151,266,62,78,18,23,36,36,40,206,161,132,175
space flight ,1785,31,95,181,222,188,55,67,56,72,60,56,166,162,113,123,85
in space ,1599,11,70,133,140,172,131,69,93,95,90,83,111,109,60,70,59
at the ,1489,4,28,77,142,228,50,45,25,34,24,47,32,122,98,117,169
the moon ,1480,9,71,150,176,219,143,105,47,139,50,54,87,64,47,34,56
with the ,1466,12,56,86,115,199,57,63,22,34,31,46,39,137,119,129,107
in a ,1417,9,47,77,100,232,104,76,16,22,31,25,32,148,109,86,129
more than ,1383,3,44,90,121,128,70,72,54,70,79,78,92,71,49,73,138
the space ,1286,8,46,80,109,113,40,50,33,45,33,22,47,95,113,127,87
director of ,1267,18,55,143,108,101,86,77,62,78,80,72,86,75,43,38,63
by nasa ,1250,8,35,72,75,86,85,59,81,133,143,132,120,82,32,30,38
air force ,1208,41,33,60,113,89,37,28,28,46,33,27,171,189,86,88,66
the us ,1140,8,53,81,90,89,29,52,11,6,14,7,17,76,75,113,165
of space ,1135,13,58,113,98,118,64,62,59,63,71,72,106,41,20,39,37
∞ nasa ,1105,15,64,78,214,32,121,107,122,72,95,88,86,11,0,0,0
could be ,1072,3,20,39,83,106,94,73,78,54,81,60,58,57,62,71,80
science and ,1066,5,46,95,75,80,72,75,61,76,65,66,98,96,50,41,24
as a ,1015,8,49,72,109,121,52,71,19,29,30,32,34,61,37,54,95
and space ,1013,11,41,93,105,118,69,64,52,49,53,51,66,60,42,42,34
space shuttle ,991,0,0,0,2,0,0,0,0,16,52,81,141,94,100,139,88
research and ,961,8,35,82,105,92,47,42,44,47,60,60,75,60,49,53,47
research center ,954,24,41,98,133,93,22,17,15,13,15,13,101,90,71,74,52
new york ,945,6,26,45,65,89,75,75,54,83,90,88,85,59,25,33,35
w post ,941,0,0,0,0,0,0,134,138,177,83,115,89,72,46,21,30
nasa announced ,937,15,38,52,96,53,19,22,53,48,94,77,59,47,36,26,43
it was ,928,10,32,47,129,130,46,69,47,73,66,60,54,43,27,28,35
for a ,923,12,18,54,87,126,33,44,11,18,17,14,14,98,74,78,75
univ of ,907,0,11,48,52,77,64,43,60,85,84,90,85,52,25,33,45
manned space ,899,13,46,103,122,81,55,54,56,59,51,48,59,60,35,20,27
with a ,878,6,20,43,69,112,29,42,10,10,10,10,9,128,99,87,81
orbit with ,859,3,1,4,12,22,33,65,97,102,111,97,115,85,55,33,8
flight center ,838,13,38,57,90,95,8,8,9,5,5,5,116,95,83,106,54
committee on ,812,11,37,80,81,43,43,69,41,62,55,54,70,75,50,19,8
to a ,810,4,9,57,53,113,37,32,15,21,18,11,13,113,55,47,85
use of ,800,7,28,36,50,78,38,42,36,36,45,39,58,52,34,43,76
on a ,796,3,24,43,65,117,34,47,5,8,17,11,12,47,53,63,82
it would ,795,3,29,68,73,90,38,48,51,59,31,28,40,33,13,26,43
space program ,789,10,39,76,87,69,51,58,69,61,57,47,63,27,16,14,19
period and ,770,0,0,1,24,6,22,56,81,81,89,109,98,106,59,33,2
sounding rocket ,763,1,20,55,90,68,72,76,60,75,54,52,57,47,16,10,3
development of ,763,9,32,62,80,63,42,50,37,44,40,48,60,41,39,41,28
launched from ,751,8,33,66,71,59,100,116,56,38,34,61,35,18,12,11,9
and to ,751,3,22,52,46,67,40,54,42,49,48,44,61,52,32,34,32
and a ,747,12,18,40,49,92,40,37,8,7,20,11,19,68,62,60,76
u s ,744,13,24,21,21,230,74,12,14,25,9,44,20,178,7,3,12
the spacecraft ,734,1,17,17,51,148,29,39,5,2,8,5,8,108,95,66,27
because of ,729,8,23,41,46,61,38,64,59,51,48,33,52,40,29,41,40
the new ,727,5,20,35,69,93,38,46,5,12,10,7,6,80,47,67,98
the earth ,727,5,39,42,67,97,32,26,6,36,15,12,16,107,99,43,37
during the ,721,2,18,28,82,100,18,29,3,8,10,11,4,98,62,93,57
it had ,714,2,7,13,44,48,18,9,30,47,32,39,27,48,16,16,23
was to ,712,1,19,40,78,71,23,35,37,50,54,54,66,44,48,46,17
the soviet ,710,10,34,52,39,121,31,28,19,24,16,30,19,69,35,76,43
one of ,710,9,23,46,58,71,51,42,35,31,40,36,32,41,30,38,48
it is ,708,4,39,97,105,103,54,51,42,60,38,47,36,20,0,5,0
launch vehicle ,706,6,26,51,81,77,44,45,68,41,15,31,27,50,36,55,14
